Local,time,Open,High,Low,Close,Volume
31.07.2007,20:00:00,1.3671,1.37099,1.36363,1.36642,858923.25
01.08.2007,20:00:00,1.36625,1.37063,1.36478,1.37024,862263.375
02.08.2007,20:00:00,1.37024,1.38178,1.36811,1.37806,839504.3125
03.08.2007,20:00:00,1.37806,1.37806,1.37806,1.37806,0
04.08.2007,20:00:00,1.3786,1.38387,1.3786,1.38163,33186.7891
05.08.2007,20:00:00,1.38176,1.38386,1.37764,1.3808,861623.5625
06.08.2007,20:00:00,1.38098,1.38132,1.37314,1.37496,859596.625
07.08.2007,20:00:00,1.37526,1.38259,1.37185,1.37993,861340.5
08.08.2007,20:00:00,1.37984,1.38167,1.36533,1.36624,860358.5625
09.08.2007,20:00:00,1.36655,1.37049,1.36406,1.3693,806215.875
10.08.2007,20:00:00,1.3693,1.3693,1.3693,1.3693,0
11.08.2007,20:00:00,1.36887,1.36936,1.3678,1.36897,76149.0938
12.08.2007,20:00:00,1.36883,1.37091,1.35974,1.36069,859343.125
13.08.2007,20:00:00,1.36062,1.3625,1.35238,1.35295,859345.3125
14.08.2007,20:00:00,1.353,1.35319,1.34127,1.34281,857494.5
15.08.2007,20:00:00,1.34292,1.34464,1.33594,1.34285,857247.1875
16.08.2007,20:00:00,1.3425,1.3546,1.33691,1.34714,806380.8125
17.08.2007,20:00:00,1.34714,1.34714,1.34714,1.34714,0
18.08.2007,20:00:00,1.3476,1.3489,1.34705,1.34705,77242.1406
19.08.2007,20:00:00,1.34734,1.35076,1.34573,1.3471,856476.0625
20.08.2007,20:00:00,1.3471,1.35203,1.34485,1.34658,854998.0625
21.08.2007,20:00:00,1.34635,1.35576,1.34459,1.35456,860180.25
22.08.2007,20:00:00,1.35477,1.35879,1.35324,1.3561,861210.25
23.08.2007,20:00:00,1.35613,1.36836,1.35497,1.36789,806608.0625
24.08.2007,20:00:00,1.36789,1.36789,1.36789,1.36789,0
25.08.2007,20:00:00,1.36745,1.36814,1.36612,1.36777,76167.9922
26.08.2007,20:00:00,1.36777,1.36852,1.36303,1.36343,859784.25
27.08.2007,20:00:00,1.3634,1.36799,1.35698,1.3574,854761
28.08.2007,20:00:00,1.3576,1.36802,1.3557,1.36682,862037
29.08.2007,20:00:00,1.36671,1.3672,1.35883,1.36674,861215.25
30.08.2007,20:00:00,1.36669,1.37191,1.36158,1.36284,803948.5625
31.08.2007,20:00:00,1.36284,1.36284,1.36284,1.36284,0
01.09.2007,20:00:00,1.36276,1.36349,1.36223,1.36308,77001.3906
02.09.2007,20:00:00,1.36299,1.36541,1.36017,1.36109,858945.8125
03.09.2007,20:00:00,1.36094,1.36256,1.3548,1.36221,854540.5625
04.09.2007,20:00:00,1.36209,1.36712,1.3566,1.36506,857962.5625
05.09.2007,20:00:00,1.36498,1.37098,1.36308,1.36902,858970.625
06.09.2007,20:00:00,1.36906,1.37978,1.36601,1.37647,807954.5
07.09.2007,20:00:00,1.37647,1.37647,1.37647,1.37647,0
08.09.2007,20:00:00,1.37681,1.37851,1.37659,1.37772,75144.3516
09.09.2007,20:00:00,1.37743,1.38143,1.37644,1.37907,859297.8125
10.09.2007,20:00:00,1.37906,1.38482,1.37756,1.38372,862666.75
11.09.2007,20:00:00,1.38352,1.39141,1.38207,1.38928,858036.5625
12.09.2007,20:00:00,1.38923,1.39265,1.386,1.3871,858054.3125
13.09.2007,20:00:00,1.38696,1.38947,1.38414,1.38725,837686.6875
14.09.2007,20:00:00,1.38725,1.38725,1.38725,1.38725,0
15.09.2007,20:00:00,1.3868,1.38727,1.38522,1.38585,33145.6016
16.09.2007,20:00:00,1.38589,1.38899,1.38474,1.38649,858047.8125
17.09.2007,20:00:00,1.3865,1.39889,1.38271,1.39748,863957.4375
18.09.2007,20:00:00,1.39726,1.39867,1.39323,1.39722,861869.625
19.09.2007,20:00:00,1.39717,1.40993,1.39659,1.4067,859777
20.09.2007,20:00:00,1.40669,1.41195,1.40394,1.40887,803940.5
21.09.2007,20:00:00,1.40887,1.40887,1.40887,1.40887,0
22.09.2007,20:00:00,1.40901,1.40938,1.40811,1.40901,78164.9453
23.09.2007,20:00:00,1.40897,1.41293,1.40653,1.40704,858135.1875
24.09.2007,20:00:00,1.4071,1.41628,1.40567,1.41454,867051.6875
25.09.2007,20:00:00,1.4145,1.41556,1.41084,1.41263,863585.75
26.09.2007,20:00:00,1.41268,1.41892,1.41195,1.41544,861774.375
27.09.2007,20:00:00,1.41537,1.42772,1.41462,1.42697,840462.25
28.09.2007,20:00:00,1.42697,1.42697,1.42697,1.42697,0
29.09.2007,20:00:00,1.42723,1.42808,1.42604,1.42671,33058.3516
30.09.2007,20:00:00,1.42678,1.42751,1.42075,1.42299,861465.875
01.10.2007,20:00:00,1.42329,1.42389,1.41353,1.41517,864020.75
02.10.2007,20:00:00,1.41512,1.42012,1.40791,1.40961,865640.125
03.10.2007,20:00:00,1.40947,1.41488,1.40641,1.41342,864407.3125
04.10.2007,20:00:00,1.41336,1.41569,1.40313,1.41293,840626.8125
05.10.2007,20:00:00,1.41293,1.41293,1.41293,1.41293,0
06.10.2007,20:00:00,1.4134,1.41526,1.41335,1.41481,32420.5996
07.10.2007,20:00:00,1.41468,1.41487,1.40321,1.4044,863947.5625
08.10.2007,20:00:00,1.40434,1.41147,1.40093,1.41049,863695.0625
09.10.2007,20:00:00,1.41067,1.41715,1.40914,1.41373,864942.1875
10.10.2007,20:00:00,1.4137,1.42402,1.41318,1.41973,868383.0625
11.10.2007,20:00:00,1.41982,1.42125,1.41522,1.41703,812598.375
12.10.2007,20:00:00,1.41703,1.41703,1.41703,1.41703,0
13.10.2007,20:00:00,1.41745,1.41866,1.41609,1.41649,76941.8594
14.10.2007,20:00:00,1.4164,1.42429,1.41559,1.4198,864637.625
15.10.2007,20:00:00,1.42043,1.42265,1.41397,1.41742,864182.8125
16.10.2007,20:00:00,1.41751,1.42301,1.41562,1.42045,866204.6875
17.10.2007,20:00:00,1.4204,1.43097,1.41921,1.42893,864422.375
18.10.2007,20:00:00,1.42905,1.43179,1.42426,1.42988,840633.8125
19.10.2007,20:00:00,1.42988,1.42988,1.42988,1.42988,0
20.10.2007,20:00:00,1.43037,1.43501,1.43037,1.43364,33973.0391
21.10.2007,20:00:00,1.43364,1.43437,1.41231,1.41747,865109.25
22.10.2007,20:00:00,1.4174,1.42782,1.41687,1.42545,859710.6875
23.10.2007,20:00:00,1.4254,1.42698,1.41873,1.42599,861285.5
24.10.2007,20:00:00,1.42583,1.43443,1.42436,1.43223,860972.3125
25.10.2007,20:00:00,1.43222,1.4399,1.43137,1.43894,838481.5625
